team,rank,continent
Belgium,1,Europe
France,2,Europe
England,4,Europe
Portugal,5,Europe
Spain,6,Europe
Brazil,3,South America
Argentina,8,South America
Uruguay,9,South America
Colombia,15,South America
Chile,19,South America
Mexico,11,North America
USA,20,North America
Jamaica,45,North America
Costa Rica,50,North America
Qatar,58,North America
Senegal,20,Africa
Morocco,28,Africa
Algeria,29,Africa
Tunisia,30,Africa
Nigeria,36,Africa
IR Iran,29,Asia
Australia,41,Asia
Japan,50,Asia
Korea Republic,53,Asia
Saudi Arabia,69,Asia
